Frame,Width,Height,Time_ms
0,1920,1080,116.138
1,1920,1080,1.203
2,1920,1080,2.425
3,1920,1080,1.162
4,1920,1080,2.668
5,1920,1080,1.312
6,1920,1080,1.175
7,1920,1080,1.245
8,1920,1080,1.236
9,1920,1080,1.374
10,1920,1080,1.671
11,1920,1080,1.522
12,1920,1080,1.179
13,1920,1080,1.396
14,1920,1080,1.203
15,1920,1080,1.282
16,1920,1080,1.412
17,1920,1080,1.271
18,1920,1080,1.325
19,1920,1080,1.303
20,1920,1080,1.212
21,1920,1080,1.179
22,1920,1080,1.166
23,1920,1080,1.323
24,1920,1080,1.32
25,1920,1080,1.386
26,1920,1080,1.369
27,1920,1080,1.421
28,1920,1080,1.182
29,1920,1080,1.322
30,1920,1080,1.554
31,1920,1080,1.366
32,1920,1080,1.374
33,1920,1080,1.234
34,1920,1080,1.242
35,1920,1080,1.24
36,1920,1080,1.449
37,1920,1080,1.438
38,1920,1080,1.46
39,1920,1080,1.217
40,1920,1080,1.283
41,1920,1080,1.272
42,1920,1080,1.364
43,1920,1080,1.247
44,1920,1080,1.43
45,1920,1080,1.357
46,1920,1080,1.285
47,1920,1080,1.309
48,1920,1080,1.256
49,1920,1080,1.294
50,1920,1080,1.365
51,1920,1080,1.223
52,1920,1080,1.304
53,1920,1080,1.439
54,1920,1080,1.545
55,1920,1080,1.467
56,1920,1080,1.303
57,1920,1080,1.406
58,1920,1080,1.174
59,1920,1080,1.193
60,1920,1080,1.194
61,1920,1080,1.239
62,1920,1080,1.187
63,1920,1080,2.227
64,1920,1080,1.351
65,1920,1080,1.405
66,1920,1080,1.156
67,1920,1080,1.273
68,1920,1080,1.163
69,1920,1080,1.272
70,1920,1080,1.234
71,1920,1080,1.155
72,1920,1080,1.767
73,1920,1080,1.326
74,1920,1080,1.191
75,1920,1080,1.17
76,1920,1080,1.218
77,1920,1080,1.24
78,1920,1080,1.435
79,1920,1080,1.299
80,1920,1080,1.169
81,1920,1080,1.211
82,1920,1080,1.21
83,1920,1080,1.206
84,1920,1080,1.282
85,1920,1080,1.164
86,1920,1080,1.309
87,1920,1080,1.38
88,1920,1080,1.206
89,1920,1080,1.207
90,1920,1080,1.175
91,1920,1080,1.259
92,1920,1080,1.187
93,1920,1080,1.197
94,1920,1080,1.181
95,1920,1080,1.213
96,1920,1080,1.156
97,1920,1080,1.226
98,1920,1080,1.203
99,1920,1080,1.207
100,1920,1080,1.215
101,1920,1080,1.271
102,1920,1080,1.254
103,1920,1080,1.202
104,1920,1080,1.222
105,1920,1080,1.189
106,1920,1080,1.441
107,1920,1080,1.183
108,1920,1080,1.173
109,1920,1080,1.204
110,1920,1080,1.268
111,1920,1080,1.199
112,1920,1080,1.229
113,1920,1080,1.233
114,1920,1080,1.156
115,1920,1080,1.244
116,1920,1080,1.387
117,1920,1080,1.226
118,1920,1080,1.184
119,1920,1080,1.14
120,1920,1080,1.291
121,1920,1080,1.519
122,1920,1080,1.31
123,1920,1080,1.173
124,1920,1080,1.242
125,1920,1080,1.363
126,1920,1080,1.436
127,1920,1080,1.252
128,1920,1080,1.167
129,1920,1080,1.29
130,1920,1080,1.187
131,1920,1080,1.257
132,1920,1080,1.187
133,1920,1080,1.167
134,1920,1080,1.149
135,1920,1080,1.151
136,1920,1080,1.512
137,1920,1080,1.27
138,1920,1080,1.225
139,1920,1080,1.205
140,1920,1080,1.189
141,1920,1080,1.299
142,1920,1080,1.336
143,1920,1080,1.23
144,1920,1080,1.573
145,1920,1080,1.253
146,1920,1080,1.388
147,1920,1080,1.151
148,1920,1080,1.152
149,1920,1080,1.236
150,1920,1080,1.428
151,1920,1080,1.22
152,1920,1080,1.182
153,1920,1080,1.158
154,1920,1080,1.19
155,1920,1080,1.165
156,1920,1080,1.197
157,1920,1080,1.168
158,1920,1080,1.322
159,1920,1080,1.555
160,1920,1080,1.213
161,1920,1080,1.142
162,1920,1080,1.203
163,1920,1080,1.209
164,1920,1080,1.201
165,1920,1080,1.242
166,1920,1080,1.262
167,1920,1080,1.197
168,1920,1080,1.236
169,1920,1080,1.275
170,1920,1080,1.148
171,1920,1080,1.483
172,1920,1080,1.177
173,1920,1080,1.308
174,1920,1080,1.306
175,1920,1080,1.21
176,1920,1080,1.193
177,1920,1080,2.027
178,1920,1080,1.976
179,1920,1080,2.06
